Year,Malaysia,Johor,W.P..Kuala.Lumpur,Selangor,Pulau.Pinang,Negeri.Sembilan,Perak,Melaka,Kedah,Pahang,Terengganu,Kelantan,Perlis,Sabah,Sarawak
2015,4.396531542,3.428257835,4.944409599,3.59613322,4.849119921,2.836724025,3.092753313,1.80898281,3.114315448,3.708729735,3.869177996,3.162714928,2.858607787,6.579742011,5.989083745
2015.25,4.399288394,3.403190577,4.920347844,3.619708343,4.859538784,2.92291372,3.121700893,1.831052059,3.139805166,3.723489721,3.847658173,3.217424595,2.794259622,6.674716835,6.079481835
2015.5,4.446147202,3.634964741,5.044495496,3.666029857,4.948896323,2.994985174,3.117299491,1.864613495,3.123871899,3.671775289,3.800261922,3.205070204,2.797794811,6.538353788,6.161823497
2015.75,4.399316888,3.438702326,5.019079443,3.636064239,4.963701068,2.994434882,2.999152464,1.84653664,3.135921918,3.649326604,3.743325672,3.165106033,2.783630477,6.249293702,6.139765026
2016,4.439338411,3.546454003,5.021082792,3.655632463,4.883412101,2.976176321,2.992464627,1.840353823,3.151461812,3.60877228,3.738861958,3.039412277,2.773876217,6.244116548,6.10004022
2016.25,4.455843864,3.526448273,5.130472478,3.713069962,4.883447815,3.003554237,3.025814863,1.8745065,3.189691544,3.626704387,3.699378829,3.017158585,2.682055778,6.294713718,6.160926766
2016.5,4.511501253,3.631702342,5.210696209,3.78254102,4.951440102,3.075549223,3.101549887,1.877935502,3.2011061,3.645458392,3.711164029,3.074583719,2.707920305,6.29752422,6.191904299
2016.75,4.486046916,3.540924402,5.167656329,3.757029444,4.866521878,3.075426789,3.067418426,1.918587387,3.195171683,3.589544188,3.723329053,2.994328994,2.678879661,6.209642164,6.146955998
2017,4.53231425,3.587383968,5.234648345,3.809052869,4.923555076,3.093596126,3.044675119,1.910688465,3.192980471,3.562169396,3.628967714,2.988366411,2.760195838,6.296283353,6.154425387
2017.25,4.556177801,3.57918271,5.244118302,3.842535057,4.920189644,3.090442042,3.063771985,1.911850245,3.226865576,3.611520207,3.59623928,3.051904656,2.722589231,6.424089543,6.218075966
2017.5,4.599344954,3.659237445,5.350201077,3.855840315,4.941274206,3.119726325,3.075536881,1.924583048,3.230169319,3.604051565,3.585854976,3.041611649,2.712414869,6.496906628,6.261281509
2017.75,4.562737938,3.616966638,5.259349857,3.838510528,4.83882954,3.145789694,3.07152992,1.969569839,3.2541687,3.54782246,3.544950055,3.026165108,2.662897571,6.47321042,6.294953968
2018,4.530415202,3.609577851,5.161558394,3.80314619,4.783771674,3.17444692,3.070635891,2.001836013,3.292850453,3.481968066,3.452166856,3.088382753,2.73130094,6.557988008,6.360184918
2018.25,4.530358871,3.625698324,5.107067213,3.816461631,4.695787503,3.214369937,3.126969697,2.04024785,3.338084846,3.453171611,3.460674014,3.112019537,2.807585799,6.723301902,6.328447387
2018.5,4.534446764,3.691624284,5.044314349,3.821967672,4.744703227,3.218875247,3.142790628,2.038361066,3.374696909,3.413890305,3.373365788,3.113157711,2.863255915,6.738313918,6.274415894
2018.75,4.488840831,3.664839962,5.007522902,3.752216864,4.718957577,3.18510243,3.181387731,2.029869565,3.393362044,3.423718244,3.348757137,3.15226188,2.935463102,6.681381202,6.193089546
2019,4.459983968,3.639554474,4.985284504,3.716488101,4.706950519,3.155931614,3.157218778,2.007234207,3.377791863,3.366022587,3.32632673,3.200092327,2.933923789,6.731549173,6.165981429
2019.25,4.616101585,3.767966862,5.062713192,3.87398673,4.845828362,3.235798011,3.319010417,2.076326088,3.541035032,3.565168962,3.427360105,3.34095168,3.126828356,6.868730512,6.630813447
2019.5,4.785879475,3.891263555,5.258301648,4.029039603,5.045518782,3.335389031,3.452809373,2.1657511,3.689560179,3.616316714,3.549445567,3.524681386,3.222966721,7.050471411,6.927817008
2019.75,4.90194734,4.01718951,5.363596953,4.116918983,5.120416137,3.47495942,3.59791906,2.239848914,3.882910519,3.660994992,3.638657482,3.747813921,3.439125672,7.139223936,7.285830977
2020,5.064019373,4.174112059,5.594069748,4.208281616,5.340815085,3.578859422,3.78276914,2.30491001,3.976356976,3.785818429,3.698920289,3.872761279,3.470327902,7.2985938,7.781256143
